source_name source_uniprot target_uniprot
o14513 o14513 p16333
o14513 o14513 p62993
o14544 o14544 o60341
o14545 o14545 p42858
o14559 o14559 p06241
o14561 o14561 q9h7b4
o14578 o14578 p48039
o14602 o14602 p54253
o14604 o14604 p54274
o14604 o14604 q01844
o14607 o14607 q04724
o14641 o14641 p62993
o14645 o14645 p42858
o14646 o14646 o75376
o14646 o14646 p84103
o14646 o14646 q15424
o14646 o14646 q9nyf8
o14682 o14682 p60709
o14683 o14683 p54253
o14737 o14737 o60341
o14744 o14744 o14744
o14744 o14744 o15479
o14744 o14744 o60674
o14744 o14744 p49759
o14744 o14744 p49761
o14744 o14744 p54105
o14744 o14744 p63104
o14744 o14744 q12874
o14744 o14744 q8n163
o14744 o14744 q8wvj2
o14744 o14744 q8wyh8
o14744 o14744 q92561
o14744 o14744 q96ru7
o14744 o14744 q99932
o14744 o14744 q9buv0
o14744 o14744 q9bx10
o14744 o14744 q9byz2
o14744 o14744 q9nq29
o14744 o14744 q9nq92
o14744 o14744 q9nwb6
o14744 o14744 q9une7
o14746 o14746 a8mw92
o14746 o14746 p63104
o14764 o14764 q7z3s9
o14776 o14776 p42858
o14776 o14776 p62993
o14777 o14777 q13625
o14777 o14777 q96es7
o14787 o14787 p54274
o14810 o14810 q6rw13
o14817 o14817 q7z3s9
o14862 o14862 q92624
o14879 o14879 p01023
o14880 o14880 p00742
o14893 o14893 p48039
o14893 o14893 q9y6k9
o14901 o14901 p42858
o14901 o14901 p54253
o14901 o14901 p63104
o14901 o14901 q92624
o14924 o14924 p48039
o14929 o14929 p15884
o14929 o14929 p50222
o14929 o14929 q16548
o14974 o14974 p06241
o15014 o15014 p54253
o15056 o15056 p16333
o15056 o15056 p62993
o15084 o15084 q96kq7
o15085 o15085 p06241
o15117 o15117 p06241
o15117 o15117 p16333
o15130 o15130 q8iuh5
o15156 o15156 p62993
o15162 o15162 p60369
o15162 o15162 q01844
o15164 o15164 o15164
o15164 o15164 p04792
o15164 o15164 p38398
o15164 o15164 q13263
o15164 o15164 q5vvx9
o15164 o15164 q9p0p0
o15169 o15169 q9uer7
o15182 o15182 q9y6k9
o15198 o15198 o60341
o15198 o15198 p54274
o15198 o15198 p60709
o15211 o15211 q7z3s9
o15232 o15232 q7z3s9
o15234 o15234 p42771
o15234 o15234 p62993
o15260 o15260 p48039
o15265 o15265 p35609
o15265 o15265 q8iuq4
o15315 o15315 q8izu0
o15320 o15320 p62993
o15350 o15350 q9uer7
o15355 o15355 p54274
o15355 o15355 q15554
o15360 o15360 p62993
o15360 o15360 q9uer7
o15379 o15379 q9uer7
o15392 o15392 q9nqs7
o15397 o15397 p54253
o15466 o15466 q92624
o15488 o15488 q9y6k9
o15514 o15514 q9y6k9
o15516 o15516 q03164
o15530 o15530 q8iuh5
o15535 o15535 q96la8
o15541 o15541 q15554
o15550 o15550 q04724
o15554 o15554 p0dp23
o19691 o19691 p61769
o43150 o43150 p06241
o43150 o43150 p16333
o43150 o43150 p62993
o43167 o43167 o43463
o43167 o43167 o60341
o43167 o43167 p60369
o43167 o43167 q9nvm4
o43189 o43189 q12800
o43189 o43189 q9bpx1
o43189 o43189 q9nvv9
o43251 o43251 p54253
o43281 o43281 p62993
o43294 o43294 p04150
o43295 o43295 q96la8
o43296 o43296 p60369
o43303 o43303 p0dp23
o43306 o43306 p54253
o43312 o43312 p42858
o43365 o43365 p54274
o43365 o43365 q8iuh5
o43390 o43390 p06241
o43390 o43390 p62993
o43426 o43426 p16333
o43463 o43463 o00257
o43463 o43463 o15535
o43463 o43463 o43295
o43463 o43463 o60341
o43463 o43463 o75558
o43463 o43463 o95785
o43463 o43463 p06241
o43463 o43463 p09017
o43463 o43463 p15313
o43463 o43463 p17152
o43463 o43463 p18847
o43463 o43463 p22692
o43463 o43463 p35637
o43463 o43463 p41134
o43463 o43463 p49639
o43463 o43463 p49643
o43463 o43463 p49761
o43463 o43463 p49910
o43463 o43463 p60002
o43463 o43463 p62191
o43463 o43463 q02363
o43463 o43463 q13133
o43463 o43463 q13829
o43463 o43463 q3kns6
o43463 o43463 q5t6s3
o43463 o43463 q5taq9
o43463 o43463 q7z699
o43463 o43463 q8iym2
o43463 o43463 q8izq1
o43463 o43463 q8tbb1
o43463 o43463 q8tbe0
o43463 o43463 q96bd6
o43463 o43463 q96ed9
o43463 o43463 q96jb6
o43463 o43463 q96la8
o43463 o43463 q96ne9
o43463 o43463 q9brk4
o43463 o43463 q9bx10
o43463 o43463 q9bxl8
o43463 o43463 q9np64
o43463 o43463 q9ns23
o43463 o43463 q9nwq4
o43463 o43463 q9udy8
o43463 o43463 q9uih9
o43463 o43463 q9ujx2
o43463 o43463 q9y2z2
o43463 o43463 q9y483
o43463 o43463 v9hwg0
o43482 o43482 o60341
o43502 o43502 o15315
o43516 o43516 p06241
o43516 o43516 p16333
o43516 o43516 p62993
o43524 o43524 q92793
o43526 o43526 p0dp23
o43570 o43570 q9uer7
o43581 o43581 q8iuq4
o43586 o43586 p00519
o43597 o43597 p60369
o43597 o43597 q8iuh5
o43598 o43598 p54274
o43602 o43602 p54274
o43609 o43609 p60369
o43639 o43639 p48740
o43670 o43670 q9bqa1
o43683 o43683 q9bxl5
o43708 o43708 p16333
o43708 o43708 p62993
o43711 o43711 q9bpy8
o43711 o43711 q9unl4
o43741 o43741 p60369
o43741 o43741 q13625
o43763 o43763 q04724
o43765 o43765 p04150
o43776 o43776 p54253
o43791 o43791 p10071
o43791 o43791 p35638
